,Data,Date,Description
0,0.0904,2017-01-27,Topic Prevalance
1,0.0817704426107,2017-01-31,Topic Prevalance
2,0.0896551724138,2017-02-01,Topic Prevalance
3,0.0941422594142,2017-02-06,Topic Prevalance
4,0.0791599353796,2017-02-07,Topic Prevalance
5,0.0994475138122,2017-02-08,Topic Prevalance
6,0.0834229198022,2017-02-09,Topic Prevalance
7,0.0458015267176,2017-02-10,Topic Prevalance
8,0.0988538681948,2017-02-11,Topic Prevalance
9,0.0928891736067,2017-02-12,Topic Prevalance
10,0.0778868946834,2017-02-13,Topic Prevalance
11,0.0966122961104,2017-02-14,Topic Prevalance
12,0.0953757225434,2017-02-15,Topic Prevalance
13,0.0928689883914,2017-02-16,Topic Prevalance
14,0.0855301698887,2017-02-17,Topic Prevalance
15,0.105898123324,2017-02-18,Topic Prevalance
16,0.108754758021,2017-02-19,Topic Prevalance
17,0.0832369942197,2017-02-20,Topic Prevalance
18,0.078795379538,2017-02-21,Topic Prevalance
19,0.0812025849958,2017-02-22,Topic Prevalance
20,0.0788299454636,2017-02-23,Topic Prevalance
21,0.100678733032,2017-02-24,Topic Prevalance
22,0.0975609756098,2017-02-26,Topic Prevalance
23,0.079012345679,2017-02-27,Topic Prevalance
24,0.0629238884702,2017-02-28,Topic Prevalance
0,-0.006948562,2/28/17,Stock Price Change
1,0.001829413,2/27/17,Stock Price Change
2,-0.003503954,2/24/17,Stock Price Change
3,-0.012230771,2/23/17,Stock Price Change
4,-0.010986215,2/22/17,Stock Price Change
5,0.011108253,2/21/17,Stock Price Change
6,0.006709671,2/17/17,Stock Price Change
7,0.003354278,2/16/17,Stock Price Change
8,0.009057539,2/15/17,Stock Price Change
9,0.013039069,2/14/17,Stock Price Change
10,0.001886975,2/13/17,Stock Price Change
11,-0.004695288,2/10/17,Stock Price Change
12,0.03069936,2/9/17,Stock Price Change
13,0.010786675,2/8/17,Stock Price Change
14,0.007710003,2/7/17,Stock Price Change
15,-0.021010691,2/6/17,Stock Price Change
16,-0.04540515,2/3/17,Stock Price Change
17,0.007305523,2/2/17,Stock Price Change
18,-0.002871109,2/1/17,Stock Price Change
19,0.008350281,1/31/17,Stock Price Change
20,0.003240518,1/30/17,Stock Price Change
21,-0.00508681,1/27/17,Stock Price Change
