Date,Price Change
2/22/17,0.000869263
2/21/17,0.002264431
2/20/17,0
2/19/17,0
2/18/17,0
2/17/17,0.009683081
2/16/17,-0.004037904
2/15/17,0.005304102
2/14/17,0.009996466
2/13/17,-0.006902637
2/12/17,0
2/11/17,0
2/10/17,0.00879241
2/9/17,0.010501557
2/8/17,0.000543613
2/7/17,-0.009858379
2/6/17,0.013088566
2/1/17,-0.02865381
1/31/17,-0.01039423
1/30/17,-0.001785679
1/27/17,0.006636753
